Model	Epoch	Timestamp	Learningrate	Train Loss	Validation Loss	Accuracy	Precision	Recall	F1 Score Macro	F1 Score Micro	MCC	AUROC
distilbert	1/20	2024-02-01 17:00:37	0.10000	7.82802	0.71684	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	2/20	2024-02-01 17:01:18	0.10000	0.71099	0.69412	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	3/20	2024-02-01 17:01:59	0.10000	0.70487	0.69351	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	4/20	2024-02-01 17:02:40	0.10000	0.70167	0.69305	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	5/20	2024-02-01 17:03:21	0.10000	34.81709	0.69305	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	6/20	2024-02-01 17:04:02	0.10000	0.70320	0.71848	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	7/20	2024-02-01 17:04:44	0.10000	0.70290	0.72013	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	8/20	2024-02-01 17:05:25	0.10000	0.70303	0.70118	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	9/20	2024-02-01 17:06:06	0.10000	0.70013	0.69508	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	10/20	2024-02-01 17:06:47	0.10000	0.70194	0.69316	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	11/20	2024-02-01 17:07:28	0.10000	0.70018	0.70855	0.4930	         0.2465	0.5000	0.3302	         0.4930	0.0000	0.5000
distilbert	12/20	2024-02-01 17:08:09	0.10000	0.70068	0.69413	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
distilbert	13/20	2024-02-01 17:08:50	0.10000	0.69725	0.69314	0.5070	         0.2535	0.5000	0.3364	         0.5070	0.0000	0.5000
